POLYGON_RCRD_ID,NON_VEG_ID,NON_VEG_COVER_TYPE,NON_VEG_COVER_PCT 
188944,1,"BR",20.000
188995,1,"RZ",2.000
189029,1,"BR",35.000
189100,1,"BR",55.000
189111,1,"RZ",2.000
189113,1,"RZ",10.000
189113,2,"UR",1.000
189130,1,"BR",55.000
189149,1,"BR",15.000
189155,1,"RI",10.000
189214,1,"ES",10.000
189222,1,"BR",10.000
189343,1,"BR",15.000
189352,1,"RZ",2.000
189358,1,"BR",20.000
189358,2,"ES",10.000
189371,1,"BR",50.000
189391,1,"BR",15.000
189392,1,"ES",10.000
189485,1,"BR",10.000
189501,1,"ES",15.000
189520,1,"RZ",5.000
189554,1,"ES",5.000
189554,2,"RI",5.000
189599,1,"ES",5.000
189667,1,"ES",5.000
189705,1,"BR",5.000
189715,1,"BR",10.000
189721,1,"BR",20.000
189721,2,"ES",15.000
189737,1,"BR",5.000
190225,1,"ES",5.000
190254,1,"ES",5.000
190404,1,"ES",15.000
190419,1,"ES",10.000
190464,1,"ES",5.000
190464,2,"RI",5.000
190471,1,"RZ",5.000
190485,1,"ES",3.000
190520,1,"RZ",5.000
190661,1,"ES",5.000
190677,1,"ES",9.000
190689,1,"ES",15.000
190778,1,"ES",10.000
190854,1,"CB",5.000
190854,2,"ES",5.000
190941,1,"ES",10.000
191012,1,"ES",10.000
191012,2,"RZ",5.000
191049,1,"ES",9.000
191075,1,"ES",5.000
191124,1,"ES",10.000
191127,1,"ES",9.000
191169,1,"ES",10.000
191237,1,"ES",15.000
191244,1,"ES",5.000
191244,2,"RZ",2.000
191357,1,"ES",5.000
196908,1,"ES",45.000
196908,2,"BR",5.000
196909,1,"ES",10.000
196910,1,"ES",10.000
196913,1,"ES",5.000
196914,1,"BR",20.000
196914,2,"ES",20.000
196919,1,"ES",15.000
196922,1,"ES",10.000
196922,2,"RZ",5.000
196923,1,"ES",5.000
196923,2,"RZ",5.000
196924,1,"ES",2.000
196926,1,"ES",2.000
196927,1,"ES",5.000
196928,1,"ES",2.000
196929,1,"ES",5.000
196930,1,"ES",10.000
196930,2,"RZ",2.000
196931,1,"ES",10.000
196931,2,"BR",5.000
196933,1,"ES",30.000
196933,2,"BR",10.000
196936,1,"ES",10.000
196936,2,"RZ",5.000
196937,1,"ES",15.000
196937,2,"BR",5.000
196938,1,"ES",5.000
196940,1,"ES",20.000
196940,2,"BR",10.000
196945,1,"ES",5.000
196946,1,"ES",5.000
196949,1,"ES",5.000
196951,1,"ES",30.000
196951,2,"RZ",5.000
196952,1,"BR",20.000
196952,2,"ES",15.000
196952,3,"TA",5.000
196953,1,"ES",2.000
196954,1,"ES",5.000
196956,1,"ES",2.000
196957,1,"ES",5.000
196958,1,"BR",50.000
196958,2,"TA",10.000
196965,1,"ES",15.000
196968,1,"ES",10.000
196969,1,"LA",5.000
196972,1,"RZ",2.000
196973,1,"ES",10.000
196974,1,"ES",15.000
196976,1,"BR",20.000
196976,2,"ES",20.000
196977,1,"BR",40.000
196979,1,"LS",10.000
196981,1,"ES",20.000
196982,1,"BR",50.000
196983,1,"ES",7.000
196983,2,"BR",3.000
196984,1,"ES",5.000
196986,1,"BR",40.000
196986,2,"ES",10.000
196989,1,"ES",5.000
196993,1,"ES",5.000
196994,1,"ES",10.000
196997,1,"ES",10.000
197005,1,"ES",10.000
197011,1,"ES",10.000
197011,2,"BR",5.000
197012,1,"ES",5.000
197014,1,"ES",5.000
197015,1,"ES",20.000
197017,1,"ES",5.000
197023,1,"ES",10.000
197031,1,"ES",5.000
197034,1,"ES",5.000
197035,1,"ES",5.000
197036,1,"ES",5.000
197037,1,"ES",15.000
197037,2,"BR",5.000
197038,1,"ES",10.000
197039,1,"ES",10.000
197039,2,"RZ",5.000
197040,1,"ES",2.000
197042,1,"ES",10.000
197046,1,"ES",10.000
197046,2,"BR",5.000
197047,1,"ES",15.000
197047,2,"BR",5.000
197049,1,"ES",30.000
197051,1,"BR",15.000
197051,2,"TA",5.000
197052,1,"ES",5.000
197054,1,"ES",15.000
197056,1,"BR",50.000
197056,2,"ES",10.000
197057,1,"BR",25.000
197057,2,"ES",10.000
197058,1,"ES",5.000
197060,1,"LS",15.000
197061,1,"BR",20.000
197061,2,"ES",10.000
197062,1,"ES",2.000
197063,1,"CB",15.000
197063,2,"ES",10.000
197065,1,"ES",25.000
197065,2,"TA",15.000
197066,1,"ES",20.000
197066,2,"UR",10.000
197066,3,"RZ",10.000
197068,1,"ES",5.000
197069,1,"ES",5.000
197070,1,"ES",5.000
